uid,submit_ts,scheduled_ts,bound_ts,ready_ts,scheduling_ms,binding_ms,coldstart_ms,e2e_ms,censored
a66869bf-8eaf-4b5e-82dc-5fee3a560216,2026-07-26T08:52:25.946406Z,2026-07-26T08:52:25Z,2026-07-26T08:52:25.991018Z,2026-07-26T08:52:25Z,-946.406,991.018,-991.018,-946.406,false
5ddd4654-43b3-410a-84f6-995f5f0fe9b3,2026-07-26T08:52:25.961906Z,2026-07-26T08:52:25Z,2026-07-26T08:52:25.991111Z,2026-07-26T08:52:25Z,-961.906,991.111,-991.111,-961.906,false
acf5fcb1-d7d1-4ded-be05-5c0c9c54cc56,2026-07-26T08:52:25.992455Z,2026-07-26T08:52:25Z,2026-07-26T08:52:25.999849Z,2026-07-26T08:52:25Z,-992.455,999.849,-999.849,-992.455,false
b8008ea1-d985-4fee-956a-1670440ffc20,2026-07-26T08:52:26.0248Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.028732Z,2026-07-26T08:52:26Z,-24.800,28.732,-28.732,-24.800,false
3083ef63-bee0-4c19-979f-29dbf35fdb34,2026-07-26T08:52:26.060762Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.066319Z,2026-07-26T08:52:26Z,-60.762,66.319,-66.319,-60.762,false
d3b92483-6268-401e-8164-7deec36b59f7,2026-07-26T08:52:26.09281Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.096693Z,2026-07-26T08:52:26Z,-92.810,96.693,-96.693,-92.810,false
d93c0170-c94b-4e18-8f7a-5071509aed5d,2026-07-26T08:52:26.131982Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.135187Z,2026-07-26T08:52:26Z,-131.982,135.187,-135.187,-131.982,false
25c2186d-b4ba-4308-932d-ed0314985021,2026-07-26T08:52:26.162594Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.165782Z,2026-07-26T08:52:26Z,-162.594,165.782,-165.782,-162.594,false
335367f5-dc96-4071-a8e5-076476b3c52a,2026-07-26T08:52:26.19619Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.198708Z,2026-07-26T08:52:26Z,-196.190,198.708,-198.708,-196.190,false
cece11bf-800f-4069-bb60-bbf818cc44cb,2026-07-26T08:52:26.230671Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.233908Z,2026-07-26T08:52:26Z,-230.671,233.908,-233.908,-230.671,false
6545acab-4b89-48af-a073-0fa631b27518,2026-07-26T08:52:26.265218Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.268417Z,2026-07-26T08:52:26Z,-265.218,268.417,-268.417,-265.218,false
d614feee-9c57-4c66-afd8-b1e79f8643a4,2026-07-26T08:52:26.299077Z,2026-07-26T08:52:26Z,2026-07-26T08:52:26.301521Z,2026-07-26T08:52:26Z,-299.077,301.521,-301.521,-299.077,false
