group_id,min_member,member_count,first_submit_ts,last_submit_ts,first_scheduled_ts,last_scheduled_ts,last_bound_ts,group_ready_ts,t_submit_ms,t_group_ready_ms,total_submit_attempts,max_submit_attempts,censored
exp2p-smoke-20260730-155846-60303-gang-000000,4,4,2026-07-30T22:59:26.818804Z,2026-07-30T22:59:27.526355Z,2026-07-30T22:59:27.548606Z,2026-07-30T22:59:27.552472Z,2026-07-30T22:59:27.552472Z,2026-07-30T22:59:27.58729Z,707.551,768.486,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000001,4,4,2026-07-30T22:59:27.770937Z,2026-07-30T22:59:28.528141Z,2026-07-30T22:59:28.539933Z,2026-07-30T22:59:28.543535Z,2026-07-30T22:59:28.543535Z,2026-07-30T22:59:28.561939Z,757.204,791.002,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000002,4,4,2026-07-30T22:59:28.77785Z,2026-07-30T22:59:29.5309Z,2026-07-30T22:59:29.537058Z,2026-07-30T22:59:29.541664Z,2026-07-30T22:59:29.541664Z,2026-07-30T22:59:29.550759Z,753.050,772.909,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000003,4,4,2026-07-30T22:59:29.780316Z,2026-07-30T22:59:30.530189Z,2026-07-30T22:59:30.535742Z,2026-07-30T22:59:30.538883Z,2026-07-30T22:59:30.538883Z,2026-07-30T22:59:30.551876Z,749.873,771.560,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000004,4,4,2026-07-30T22:59:30.781273Z,2026-07-30T22:59:31.532048Z,2026-07-30T22:59:31.536488Z,2026-07-30T22:59:31.539084Z,2026-07-30T22:59:31.539084Z,2026-07-30T22:59:31.558296Z,750.775,777.023,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000005,4,4,2026-07-30T22:59:31.784187Z,2026-07-30T22:59:32.539291Z,2026-07-30T22:59:32.548975Z,2026-07-30T22:59:32.552112Z,2026-07-30T22:59:32.552112Z,2026-07-30T22:59:32.565276Z,755.104,781.089,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000006,4,4,2026-07-30T22:59:32.791354Z,2026-07-30T22:59:33.543228Z,2026-07-30T22:59:33.547953Z,2026-07-30T22:59:33.55475Z,2026-07-30T22:59:33.55475Z,2026-07-30T22:59:33.57078Z,751.874,779.426,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000007,4,4,2026-07-30T22:59:33.793961Z,2026-07-30T22:59:34.546397Z,2026-07-30T22:59:34.552606Z,2026-07-30T22:59:34.557173Z,2026-07-30T22:59:34.557173Z,2026-07-30T22:59:34.57069Z,752.436,776.729,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000008,4,4,2026-07-30T22:59:34.795911Z,2026-07-30T22:59:35.55429Z,2026-07-30T22:59:35.566058Z,2026-07-30T22:59:35.578614Z,2026-07-30T22:59:35.578614Z,2026-07-30T22:59:35.584146Z,758.379,788.235,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000009,4,4,2026-07-30T22:59:35.799939Z,2026-07-30T22:59:36.554871Z,2026-07-30T22:59:36.557839Z,2026-07-30T22:59:36.565213Z,2026-07-30T22:59:36.565213Z,2026-07-30T22:59:36.57322Z,754.932,773.281,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000010,4,4,2026-07-30T22:59:36.807435Z,2026-07-30T22:59:37.560646Z,2026-07-30T22:59:37.565301Z,2026-07-30T22:59:37.568867Z,2026-07-30T22:59:37.568867Z,2026-07-30T22:59:37.581285Z,753.211,773.850,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000011,4,4,2026-07-30T22:59:37.811226Z,2026-07-30T22:59:38.560088Z,2026-07-30T22:59:38.564087Z,2026-07-30T22:59:38.565772Z,2026-07-30T22:59:38.565772Z,2026-07-30T22:59:38.579125Z,748.862,767.899,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000012,4,4,2026-07-30T22:59:38.810185Z,2026-07-30T22:59:39.56607Z,2026-07-30T22:59:39.573544Z,2026-07-30T22:59:39.575377Z,2026-07-30T22:59:39.575377Z,2026-07-30T22:59:39.584654Z,755.885,774.469,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000013,4,4,2026-07-30T22:59:39.81806Z,2026-07-30T22:59:40.56921Z,2026-07-30T22:59:40.573629Z,2026-07-30T22:59:40.57856Z,2026-07-30T22:59:40.57856Z,2026-07-30T22:59:40.586626Z,751.150,768.566,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000014,4,4,2026-07-30T22:59:40.820982Z,2026-07-30T22:59:41.574137Z,2026-07-30T22:59:41.577968Z,2026-07-30T22:59:41.583244Z,2026-07-30T22:59:41.583244Z,2026-07-30T22:59:41.594136Z,753.155,773.154,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000015,4,4,2026-07-30T22:59:41.822933Z,2026-07-30T22:59:42.577607Z,2026-07-30T22:59:42.582414Z,2026-07-30T22:59:42.588823Z,2026-07-30T22:59:42.588823Z,2026-07-30T22:59:42.596377Z,754.674,773.444,4,1,false
exp2p-smoke-20260730-155846-60303-gang-000016,4,4,2026-07-30T22:59:42.827929Z,2026-07-30T22:59:43.581414Z,2026-07-30T22:59:43.588024Z,2026-07-30T22:59:43.592446Z,2026-07-30T22:59:43.592446Z,2026-07-30T22:59:43.600749Z,753.485,772.820,4,1,false
