uid,name,group_id,min_member,member_index,attempts,submit_ts,scheduled_ts,bound_ts,ready_ts,scheduling_ms,binding_ms,coldstart_ms,e2e_ms,censored
ade13c0d-739c-4636-a6d6-a8222ee8f04c,loadgen-0-cgcl7,exp2p-smoke-20260730-155846-60303-gang-000000,4,0,1,2026-07-30T22:59:26.818804Z,2026-07-30T22:59:27.548606Z,2026-07-30T22:59:27.548606Z,2026-07-30T22:59:27.58623Z,729.802,0.000,37.624,767.426,false
8c453ac0-36da-42ce-bc2e-51837f5ddd1b,loadgen-1-hbvr5,exp2p-smoke-20260730-155846-60303-gang-000000,4,1,1,2026-07-30T22:59:27.020908Z,2026-07-30T22:59:27.552087Z,2026-07-30T22:59:27.552087Z,2026-07-30T22:59:27.586537Z,531.179,0.000,34.450,565.629,false
c0e1229a-7196-4f78-83a8-fb0b26f3a284,loadgen-2-htmmr,exp2p-smoke-20260730-155846-60303-gang-000000,4,2,1,2026-07-30T22:59:27.268128Z,2026-07-30T22:59:27.552472Z,2026-07-30T22:59:27.552472Z,2026-07-30T22:59:27.585867Z,284.344,0.000,33.395,317.739,false
32dcf81f-4d02-4846-ae2d-1e6284b5d542,loadgen-3-h9wjb,exp2p-smoke-20260730-155846-60303-gang-000000,4,3,1,2026-07-30T22:59:27.526355Z,2026-07-30T22:59:27.54876Z,2026-07-30T22:59:27.54876Z,2026-07-30T22:59:27.58729Z,22.405,0.000,38.529,60.935,false
8dd2ebc9-5bc7-4976-a9fe-2cbc434b2fdf,loadgen-4-d9z62,exp2p-smoke-20260730-155846-60303-gang-000001,4,0,1,2026-07-30T22:59:27.770937Z,2026-07-30T22:59:28.543162Z,2026-07-30T22:59:28.543162Z,2026-07-30T22:59:28.560288Z,772.225,0.000,17.125,789.351,false
9e97963a-24e0-4e5b-873b-fa34826c3713,loadgen-5-s68zr,exp2p-smoke-20260730-155846-60303-gang-000001,4,1,1,2026-07-30T22:59:28.024269Z,2026-07-30T22:59:28.539933Z,2026-07-30T22:59:28.539933Z,2026-07-30T22:59:28.553354Z,515.664,0.000,13.421,529.085,false
dea79a00-9a7c-4dea-a9e5-2ecc4c80276e,loadgen-6-l6zr2,exp2p-smoke-20260730-155846-60303-gang-000001,4,2,1,2026-07-30T22:59:28.27209Z,2026-07-30T22:59:28.543347Z,2026-07-30T22:59:28.543347Z,2026-07-30T22:59:28.561939Z,271.257,0.000,18.592,289.849,false
bfff1c91-f947-40bd-a6d9-75c2e5c62245,loadgen-7-pz299,exp2p-smoke-20260730-155846-60303-gang-000001,4,3,1,2026-07-30T22:59:28.528141Z,2026-07-30T22:59:28.543535Z,2026-07-30T22:59:28.543535Z,2026-07-30T22:59:28.559368Z,15.394,0.000,15.833,31.227,false
ae7d4f9b-6596-411b-a634-a1777701358c,loadgen-8-f7z4f,exp2p-smoke-20260730-155846-60303-gang-000002,4,0,1,2026-07-30T22:59:28.77785Z,2026-07-30T22:59:29.537058Z,2026-07-30T22:59:29.537058Z,2026-07-30T22:59:29.547134Z,759.208,0.000,10.076,769.284,false
ec7fd391-50c7-42aa-8ed3-be62d3f89ec4,loadgen-9-mp978,exp2p-smoke-20260730-155846-60303-gang-000002,4,1,1,2026-07-30T22:59:29.030596Z,2026-07-30T22:59:29.541664Z,2026-07-30T22:59:29.541664Z,2026-07-30T22:59:29.548935Z,511.068,0.000,7.271,518.339,false
271010bb-fab7-4fb6-9ac2-b369014cfac5,loadgen-10-qmzn9,exp2p-smoke-20260730-155846-60303-gang-000002,4,2,1,2026-07-30T22:59:29.276707Z,2026-07-30T22:59:29.541481Z,2026-07-30T22:59:29.541481Z,2026-07-30T22:59:29.550759Z,264.774,0.000,9.278,274.052,false
c15f7d01-ad20-4242-868b-9abe684366cd,loadgen-11-xmq9f,exp2p-smoke-20260730-155846-60303-gang-000002,4,3,1,2026-07-30T22:59:29.5309Z,2026-07-30T22:59:29.541257Z,2026-07-30T22:59:29.541257Z,2026-07-30T22:59:29.55068Z,10.357,0.000,9.423,19.780,false
db25bdbe-1416-41e8-b253-676b4296fd20,loadgen-12-scqfm,exp2p-smoke-20260730-155846-60303-gang-000003,4,0,1,2026-07-30T22:59:29.780316Z,2026-07-30T22:59:30.535742Z,2026-07-30T22:59:30.535742Z,2026-07-30T22:59:30.54962Z,755.426,0.000,13.878,769.304,false
24a9bb3c-d632-4d72-94ba-6f85cb7466eb,loadgen-13-mtck7,exp2p-smoke-20260730-155846-60303-gang-000003,4,1,1,2026-07-30T22:59:30.031012Z,2026-07-30T22:59:30.538883Z,2026-07-30T22:59:30.538883Z,2026-07-30T22:59:30.551362Z,507.871,0.000,12.479,520.350,false
dadda2ca-abb1-4a5d-b403-67ee2139aece,loadgen-14-xqchr,exp2p-smoke-20260730-155846-60303-gang-000003,4,2,1,2026-07-30T22:59:30.282444Z,2026-07-30T22:59:30.538677Z,2026-07-30T22:59:30.538677Z,2026-07-30T22:59:30.550212Z,256.233,0.000,11.536,267.768,false
8987ea0a-85cf-466c-b7da-3aad0f3d47af,loadgen-15-ftmf7,exp2p-smoke-20260730-155846-60303-gang-000003,4,3,1,2026-07-30T22:59:30.530189Z,2026-07-30T22:59:30.538322Z,2026-07-30T22:59:30.538322Z,2026-07-30T22:59:30.551876Z,8.133,0.000,13.554,21.687,false
80b1f417-1b8a-437d-9cc2-cd018118f8ea,loadgen-16-cvvg9,exp2p-smoke-20260730-155846-60303-gang-000004,4,0,1,2026-07-30T22:59:30.781273Z,2026-07-30T22:59:31.539084Z,2026-07-30T22:59:31.539084Z,2026-07-30T22:59:31.558296Z,757.811,0.000,19.212,777.023,false
b6f197f6-dd1b-471a-a15c-0ae8f7cb275a,loadgen-17-nlkw7,exp2p-smoke-20260730-155846-60303-gang-000004,4,1,1,2026-07-30T22:59:31.031595Z,2026-07-30T22:59:31.538997Z,2026-07-30T22:59:31.538997Z,2026-07-30T22:59:31.558013Z,507.402,0.000,19.016,526.418,false
15463fc6-f619-4da9-94a6-15a04bc41bb9,loadgen-18-vdvvb,exp2p-smoke-20260730-155846-60303-gang-000004,4,2,1,2026-07-30T22:59:31.28065Z,2026-07-30T22:59:31.536488Z,2026-07-30T22:59:31.536488Z,2026-07-30T22:59:31.546183Z,255.838,0.000,9.695,265.533,false
677bacdc-f195-48a9-b7a1-2b2465c34ae3,loadgen-19-c4wzs,exp2p-smoke-20260730-155846-60303-gang-000004,4,3,1,2026-07-30T22:59:31.532048Z,2026-07-30T22:59:31.53797Z,2026-07-30T22:59:31.53797Z,2026-07-30T22:59:31.55257Z,5.922,0.000,14.600,20.522,false
612922e0-311c-4aa1-98bd-c0fc2c249944,loadgen-20-vdqjw,exp2p-smoke-20260730-155846-60303-gang-000005,4,0,1,2026-07-30T22:59:31.784187Z,2026-07-30T22:59:32.552112Z,2026-07-30T22:59:32.552112Z,2026-07-30T22:59:32.565063Z,767.925,0.000,12.951,780.876,false
6eaa8d9e-9044-4e8e-8525-0883b6e6b686,loadgen-21-5bf6f,exp2p-smoke-20260730-155846-60303-gang-000005,4,1,1,2026-07-30T22:59:32.038745Z,2026-07-30T22:59:32.551321Z,2026-07-30T22:59:32.551321Z,2026-07-30T22:59:32.56453Z,512.576,0.000,13.209,525.785,false
feea112e-4be5-4099-a269-4db1cc4e8e04,loadgen-22-ql26f,exp2p-smoke-20260730-155846-60303-gang-000005,4,2,1,2026-07-30T22:59:32.293087Z,2026-07-30T22:59:32.551441Z,2026-07-30T22:59:32.551441Z,2026-07-30T22:59:32.565276Z,258.354,0.000,13.835,272.189,false
66a6fc26-386d-44c9-9434-dd6f0c4a2f68,loadgen-23-psdfx,exp2p-smoke-20260730-155846-60303-gang-000005,4,3,1,2026-07-30T22:59:32.539291Z,2026-07-30T22:59:32.548975Z,2026-07-30T22:59:32.548975Z,2026-07-30T22:59:32.564872Z,9.684,0.000,15.897,25.581,false
09aabfc7-3153-4751-a7eb-8664f2899506,loadgen-24-nfvtq,exp2p-smoke-20260730-155846-60303-gang-000006,4,0,1,2026-07-30T22:59:32.791354Z,2026-07-30T22:59:33.55475Z,2026-07-30T22:59:33.55475Z,2026-07-30T22:59:33.568242Z,763.396,0.000,13.492,776.888,false
ef5d29b7-56a1-40f3-842f-6ad56ba02e56,loadgen-25-6t54g,exp2p-smoke-20260730-155846-60303-gang-000006,4,1,1,2026-07-30T22:59:33.042866Z,2026-07-30T22:59:33.553027Z,2026-07-30T22:59:33.553027Z,2026-07-30T22:59:33.57078Z,510.161,0.000,17.753,527.914,false
94e0744d-f966-4170-b8f8-6ccba2a2e783,loadgen-26-gmk25,exp2p-smoke-20260730-155846-60303-gang-000006,4,2,1,2026-07-30T22:59:33.312717Z,2026-07-30T22:59:33.554705Z,2026-07-30T22:59:33.554705Z,2026-07-30T22:59:33.570072Z,241.988,0.000,15.367,257.355,false
f92751c6-1419-444a-a581-5eaa7896df3c,loadgen-27-gbpnp,exp2p-smoke-20260730-155846-60303-gang-000006,4,3,1,2026-07-30T22:59:33.543228Z,2026-07-30T22:59:33.547953Z,2026-07-30T22:59:33.547953Z,2026-07-30T22:59:33.569947Z,4.725,0.000,21.993,26.719,false
b2a9e3de-4768-4047-b270-950f0400bb60,loadgen-28-kc27s,exp2p-smoke-20260730-155846-60303-gang-000007,4,0,1,2026-07-30T22:59:33.793961Z,2026-07-30T22:59:34.556781Z,2026-07-30T22:59:34.556781Z,2026-07-30T22:59:34.56644Z,762.820,0.000,9.659,772.479,false
2b2f9bdc-0598-4556-9fa6-ad39e36a080e,loadgen-29-htxff,exp2p-smoke-20260730-155846-60303-gang-000007,4,1,1,2026-07-30T22:59:34.048265Z,2026-07-30T22:59:34.557173Z,2026-07-30T22:59:34.557173Z,2026-07-30T22:59:34.57069Z,508.908,0.000,13.517,522.425,false
38dc6e44-2106-4411-9d19-64ac423ac50c,loadgen-30-g2g8b,exp2p-smoke-20260730-155846-60303-gang-000007,4,2,1,2026-07-30T22:59:34.296971Z,2026-07-30T22:59:34.552606Z,2026-07-30T22:59:34.552606Z,2026-07-30T22:59:34.562205Z,255.635,0.000,9.599,265.234,false
25cd9ffe-7473-48e3-8de4-4d552db52e61,loadgen-31-mrn9t,exp2p-smoke-20260730-155846-60303-gang-000007,4,3,1,2026-07-30T22:59:34.546397Z,2026-07-30T22:59:34.556956Z,2026-07-30T22:59:34.556956Z,2026-07-30T22:59:34.568738Z,10.559,0.000,11.782,22.341,false
d7364e0a-b740-4c2a-951b-fde9bad84ff5,loadgen-32-8mm8z,exp2p-smoke-20260730-155846-60303-gang-000008,4,0,1,2026-07-30T22:59:34.795911Z,2026-07-30T22:59:35.578136Z,2026-07-30T22:59:35.578136Z,2026-07-30T22:59:35.58358Z,782.225,0.000,5.444,787.669,false
5b114eb0-e2e5-4857-9c60-671d2931d338,loadgen-33-qvjcc,exp2p-smoke-20260730-155846-60303-gang-000008,4,1,1,2026-07-30T22:59:35.051309Z,2026-07-30T22:59:35.578614Z,2026-07-30T22:59:35.578614Z,2026-07-30T22:59:35.584146Z,527.305,0.000,5.532,532.837,false
5fda51dd-9f7a-495f-bb8b-579be099edb1,loadgen-34-2tg9f,exp2p-smoke-20260730-155846-60303-gang-000008,4,2,1,2026-07-30T22:59:35.300877Z,2026-07-30T22:59:35.566058Z,2026-07-30T22:59:35.566058Z,2026-07-30T22:59:35.574578Z,265.181,0.000,8.520,273.701,false
e829e2e0-bfc9-4dfb-8cac-03d67793dda8,loadgen-35-js6vr,exp2p-smoke-20260730-155846-60303-gang-000008,4,3,1,2026-07-30T22:59:35.55429Z,2026-07-30T22:59:35.57835Z,2026-07-30T22:59:35.57835Z,2026-07-30T22:59:35.583446Z,24.060,0.000,5.096,29.156,false
1e09eeca-7769-43d7-b4a5-d077fe2f3023,loadgen-36-dfzf7,exp2p-smoke-20260730-155846-60303-gang-000009,4,0,1,2026-07-30T22:59:35.799939Z,2026-07-30T22:59:36.564686Z,2026-07-30T22:59:36.564686Z,2026-07-30T22:59:36.57322Z,764.747,0.000,8.534,773.281,false
40ee78cc-49b8-4f58-afe0-91b51e8cf3b7,loadgen-37-rwd87,exp2p-smoke-20260730-155846-60303-gang-000009,4,1,1,2026-07-30T22:59:36.055738Z,2026-07-30T22:59:36.565063Z,2026-07-30T22:59:36.565063Z,2026-07-30T22:59:36.573023Z,509.325,0.000,7.960,517.285,false
7bb4775f-0006-4018-99f3-44198b13eb63,loadgen-38-tjhqk,exp2p-smoke-20260730-155846-60303-gang-000009,4,2,1,2026-07-30T22:59:36.305145Z,2026-07-30T22:59:36.557839Z,2026-07-30T22:59:36.557839Z,2026-07-30T22:59:36.568266Z,252.694,0.000,10.427,263.121,false
2316159f-17c8-4d01-95c9-836e9d4d9997,loadgen-39-4tlxj,exp2p-smoke-20260730-155846-60303-gang-000009,4,3,1,2026-07-30T22:59:36.554871Z,2026-07-30T22:59:36.565213Z,2026-07-30T22:59:36.565213Z,2026-07-30T22:59:36.570909Z,10.342,0.000,5.696,16.038,false
961eaa17-3d93-4bdf-bc15-cb1129d64cfa,loadgen-40-8zmfl,exp2p-smoke-20260730-155846-60303-gang-000010,4,0,1,2026-07-30T22:59:36.807435Z,2026-07-30T22:59:37.565301Z,2026-07-30T22:59:37.565301Z,2026-07-30T22:59:37.573428Z,757.866,0.000,8.127,765.993,false
aef8030e-23ec-4164-9902-1bf752f1662a,loadgen-41-p4clp,exp2p-smoke-20260730-155846-60303-gang-000010,4,1,1,2026-07-30T22:59:37.058176Z,2026-07-30T22:59:37.567661Z,2026-07-30T22:59:37.567661Z,2026-07-30T22:59:37.580433Z,509.485,0.000,12.772,522.257,false
f43fb899-24ff-4aae-ac7a-9104c58337ed,loadgen-42-j59hb,exp2p-smoke-20260730-155846-60303-gang-000010,4,2,1,2026-07-30T22:59:37.308085Z,2026-07-30T22:59:37.568867Z,2026-07-30T22:59:37.568867Z,2026-07-30T22:59:37.581285Z,260.782,0.000,12.418,273.200,false
547db61d-ac92-42b9-a458-13e028b1062b,loadgen-43-2wqb6,exp2p-smoke-20260730-155846-60303-gang-000010,4,3,1,2026-07-30T22:59:37.560646Z,2026-07-30T22:59:37.568793Z,2026-07-30T22:59:37.568793Z,2026-07-30T22:59:37.578697Z,8.147,0.000,9.904,18.051,false
66aa80e7-d66c-4be9-a371-48d0182ea77c,loadgen-44-k4tdq,exp2p-smoke-20260730-155846-60303-gang-000011,4,0,1,2026-07-30T22:59:37.811226Z,2026-07-30T22:59:38.565722Z,2026-07-30T22:59:38.565722Z,2026-07-30T22:59:38.577012Z,754.496,0.000,11.289,765.786,false
07ca5af8-a84b-4589-801c-78013236171a,loadgen-45-8rsg9,exp2p-smoke-20260730-155846-60303-gang-000011,4,1,1,2026-07-30T22:59:38.059955Z,2026-07-30T22:59:38.565562Z,2026-07-30T22:59:38.565562Z,2026-07-30T22:59:38.579125Z,505.607,0.000,13.564,519.170,false
e53d145f-8409-4a9e-a423-76ff5d9f58c2,loadgen-46-2gv64,exp2p-smoke-20260730-155846-60303-gang-000011,4,2,1,2026-07-30T22:59:38.310793Z,2026-07-30T22:59:38.564087Z,2026-07-30T22:59:38.564087Z,2026-07-30T22:59:38.575192Z,253.294,0.000,11.105,264.399,false
91c95a7c-7f5f-4642-929a-ea9f53a9461e,loadgen-47-6hj8j,exp2p-smoke-20260730-155846-60303-gang-000011,4,3,1,2026-07-30T22:59:38.560088Z,2026-07-30T22:59:38.565772Z,2026-07-30T22:59:38.565772Z,2026-07-30T22:59:38.578145Z,5.684,0.000,12.373,18.057,false
