group_id,min_member,member_count,first_submit_ts,last_submit_ts,first_scheduled_ts,last_scheduled_ts,last_bound_ts,group_ready_ts,t_submit_ms,t_group_ready_ms,total_submit_attempts,max_submit_attempts,censored
smoke6-gang-000000,4,4,2026-07-30T05:07:23.999601Z,2026-07-30T05:07:24.739402Z,2026-07-30T05:07:24.760407Z,2026-07-30T05:07:24.761179Z,2026-07-30T05:07:24.761179Z,2026-07-30T05:07:24.782895Z,739.801,783.294,4,1,false
smoke6-gang-000001,4,4,2026-07-30T05:07:24.977546Z,2026-07-30T05:07:25.734161Z,2026-07-30T05:07:25.740798Z,2026-07-30T05:07:25.742961Z,2026-07-30T05:07:25.742961Z,2026-07-30T05:07:25.751109Z,756.615,773.563,4,1,false
smoke6-gang-000002,4,4,2026-07-30T05:07:25.985404Z,2026-07-30T05:07:26.740279Z,2026-07-30T05:07:26.746871Z,2026-07-30T05:07:26.750971Z,2026-07-30T05:07:26.750971Z,2026-07-30T05:07:26.777872Z,754.875,792.468,4,1,false
smoke6-gang-000003,4,4,2026-07-30T05:07:26.989203Z,2026-07-30T05:07:27.74597Z,2026-07-30T05:07:27.753946Z,2026-07-30T05:07:27.759633Z,2026-07-30T05:07:27.759633Z,2026-07-30T05:07:27.786744Z,756.767,797.541,4,1,false
smoke6-gang-000004,4,4,2026-07-30T05:07:27.994408Z,2026-07-30T05:07:28.747491Z,2026-07-30T05:07:28.756418Z,2026-07-30T05:07:28.763233Z,2026-07-30T05:07:28.763233Z,2026-07-30T05:07:28.788644Z,753.083,794.236,4,1,false
smoke6-gang-000005,4,4,2026-07-30T05:07:28.993777Z,2026-07-30T05:07:29.748303Z,2026-07-30T05:07:29.760045Z,2026-07-30T05:07:29.76356Z,2026-07-30T05:07:29.76356Z,2026-07-30T05:07:29.77644Z,754.526,782.663,4,1,false
smoke6-gang-000006,4,4,2026-07-30T05:07:29.996436Z,2026-07-30T05:07:30.75309Z,2026-07-30T05:07:30.761014Z,2026-07-30T05:07:30.766894Z,2026-07-30T05:07:30.766894Z,2026-07-30T05:07:30.778235Z,756.654,781.799,4,1,false
smoke6-gang-000007,4,4,2026-07-30T05:07:31.003287Z,2026-07-30T05:07:31.754978Z,2026-07-30T05:07:31.758787Z,2026-07-30T05:07:31.761878Z,2026-07-30T05:07:31.761878Z,2026-07-30T05:07:31.767596Z,751.691,764.309,4,1,false
smoke6-gang-000008,4,4,2026-07-30T05:07:32.009516Z,2026-07-30T05:07:32.758826Z,2026-07-30T05:07:32.763793Z,2026-07-30T05:07:32.76765Z,2026-07-30T05:07:32.76765Z,2026-07-30T05:07:32.775949Z,749.310,766.433,4,1,false
smoke6-gang-000009,4,4,2026-07-30T05:07:33.013063Z,2026-07-30T05:07:33.761076Z,2026-07-30T05:07:33.76718Z,2026-07-30T05:07:33.769312Z,2026-07-30T05:07:33.769312Z,2026-07-30T05:07:33.776757Z,748.013,763.694,4,1,false
smoke6-gang-000010,4,4,2026-07-30T05:07:34.017177Z,2026-07-30T05:07:34.771355Z,2026-07-30T05:07:34.778143Z,2026-07-30T05:07:34.781632Z,2026-07-30T05:07:34.781632Z,2026-07-30T05:07:34.789123Z,754.178,771.946,4,1,false
smoke6-gang-000011,4,4,2026-07-30T05:07:35.020122Z,2026-07-30T05:07:35.771978Z,2026-07-30T05:07:35.778281Z,2026-07-30T05:07:35.781842Z,2026-07-30T05:07:35.781842Z,2026-07-30T05:07:35.796393Z,751.856,776.271,4,1,false
smoke6-gang-000012,4,4,2026-07-30T05:07:36.022263Z,2026-07-30T05:07:36.77341Z,2026-07-30T05:07:36.776675Z,2026-07-30T05:07:36.778661Z,2026-07-30T05:07:36.778661Z,2026-07-30T05:07:36.791066Z,751.147,768.803,4,1,false
smoke6-gang-000013,4,4,2026-07-30T05:07:37.025069Z,2026-07-30T05:07:37.783406Z,2026-07-30T05:07:37.789619Z,2026-07-30T05:07:37.792113Z,2026-07-30T05:07:37.792113Z,2026-07-30T05:07:37.799628Z,758.337,774.559,4,1,false
smoke6-gang-000014,4,4,2026-07-30T05:07:38.029138Z,2026-07-30T05:07:38.788251Z,2026-07-30T05:07:38.79385Z,2026-07-30T05:07:38.797552Z,2026-07-30T05:07:38.797552Z,2026-07-30T05:07:38.810903Z,759.113,781.765,4,1,false
smoke6-gang-000015,4,4,2026-07-30T05:07:39.057137Z,2026-07-30T05:07:39.790304Z,2026-07-30T05:07:39.800436Z,2026-07-30T05:07:39.81049Z,2026-07-30T05:07:39.81049Z,2026-07-30T05:07:39.823118Z,733.167,765.981,4,1,false
smoke6-gang-000016,4,4,2026-07-30T05:07:40.037762Z,2026-07-30T05:07:40.791732Z,2026-07-30T05:07:40.798129Z,2026-07-30T05:07:40.803023Z,2026-07-30T05:07:40.803023Z,2026-07-30T05:07:40.81577Z,753.970,778.008,4,1,false
smoke6-gang-000017,4,4,2026-07-30T05:07:41.061593Z,2026-07-30T05:07:41.798868Z,2026-07-30T05:07:41.804472Z,2026-07-30T05:07:41.808417Z,2026-07-30T05:07:41.808417Z,2026-07-30T05:07:41.825694Z,737.275,764.101,4,1,false
smoke6-gang-000018,4,4,2026-07-30T05:07:42.050895Z,2026-07-30T05:07:42.803774Z,2026-07-30T05:07:42.80964Z,2026-07-30T05:07:42.81186Z,2026-07-30T05:07:42.81186Z,2026-07-30T05:07:42.817978Z,752.879,767.083,4,1,false
smoke6-gang-000019,4,3,2026-07-30T05:07:43.050082Z,2026-07-30T05:07:43.555796Z,,,,,505.714,,3,1,true
